ads_title                                                ,posted_date ,priority_date ,category ,school                                                                                                                                                 ,department ,specialization ,rank ,city ,state          ,canada ,current_status ,comments1             ,comments2 ,ads_source                                                                                                                                                                           ,ads_job_code
Instructor of Chemistry                                  ,02/08/2021  ,              ,         ,"=hyperlink(""https://atu.csod.com/ats/careersite/search.aspx?site=1&c=atu"",""Arkansas Tech University"")"                                            ,           ,               ,     ,     ,Arkansas       ,       ,               ,Non-Tenured Track     ,          ,"=hyperlink(""https://jobs.chronicle.com/job/317274/instructor-of-chemistry/"",""Chronicle of Higher Education Jobs"")"                                                              ,317274
Arts & Sciences Digital Transformation Hiring Initiative ,02/08/2021  ,              ,         ,"=hyperlink(""https://insideartsci.wustl.edu/digital-transformation-hiring-initiative"",""Washington University in St. Louis"")"                       ,           ,               ,     ,     ,Missouri       ,       ,               ,                      ,          ,"=hyperlink(""https://jobs.chronicle.com/job/317242/arts-and-sciences-digital-transformation-hiring-initiative/?LinkSource=PremiumListing"",""Chronicle of Higher Education Jobs"")" ,317242
"Assistant Professor, Cell Biology"                      ,02/08/2021  ,              ,         ,"=hyperlink(""https://kean.wd1.myworkdayjobs.com/en-US/Kean/job/Union-New-Jersey/Assistant-Professor--Cell-Biology_R284"",""Kean University"")"        ,           ,               ,asst ,     ,New Jersey     ,       ,               ,                      ,          ,"=hyperlink(""https://jobs.chronicle.com/job/317183/assistant-professor-cell-biology-/"",""Chronicle of Higher Education Jobs"")"                                                    ,317183
"Assistant Professor, Integrative Biology"               ,02/08/2021  ,              ,         ,"=hyperlink(""https://kean.wd1.myworkdayjobs.com/en-US/Kean/job/Union-New-Jersey/Assistant-Professor--Integrative-Biology_R283"",""Kean University"")" ,           ,               ,asst ,     ,New Jersey     ,       ,               ,                      ,          ,"=hyperlink(""https://jobs.chronicle.com/job/317185/assistant-professor-integrative-biology-/"",""Chronicle of Higher Education Jobs"")"                                             ,317185
Research Stores Manager (NSM)  - (STA006878)             ,02/06/2021  ,              ,         ,"=hyperlink(""https://uhs.taleo.net/careersection/ex1_uhs/jobdetail.ftl?job=STA006878%E2%8C%A9=en"",""University of Houston"")"                        ,           ,               ,     ,     ,Texas          ,       ,               ,                      ,          ,"=hyperlink(""https://jobs.chronicle.com/job/317011/research-stores-manager-nsm-sta006878-/"",""Chronicle of Higher Education Jobs"")"                                               ,317011
Lecturer in Physical Chemistry                           ,02/05/2021  ,              ,         ,"=hyperlink(""https://jobs.unca.edu/"",""University of North Carolina at Asheville"")"                                                                 ,           ,               ,     ,     ,North Carolina ,       ,               ,Non-Tenured Track     ,          ,"=hyperlink(""https://jobs.chronicle.com/job/316867/lecturer-in-physical-chemistry/"",""Chronicle of Higher Education Jobs"")"                                                       ,316867
Assistant Professor                                      ,02/05/2021  ,              ,         ,"=hyperlink(""https://jobs.eku.edu/postings/15799"",""Eastern Kentucky University"")"                                                                  ,           ,               ,asst ,     ,Kentucky       ,       ,               ,Tenured/Tenured Track ,          ,"=hyperlink(""https://jobs.chronicle.com/job/316889/assistant-professor/"",""Chronicle of Higher Education Jobs"")"                                                                  ,316889
Assistant Professor - Integrative Animal Biology         ,02/04/2021  ,              ,         ,"=hyperlink(""https://www.sujobopps.com/postings/85951"",""Syracuse University"")"                                                                     ,           ,               ,asst ,     ,New York       ,       ,               ,                      ,          ,"=hyperlink(""https://jobs.chronicle.com/job/317139/assistant-professor-integrative-animal-biology-/"",""Chronicle of Higher Education Jobs"")"                                      ,317139
Assistant Professor - Bioinformatics                     ,02/04/2021  ,              ,         ,"=hyperlink(""https://www.sujobopps.com/postings/85949"",""Syracuse University"")"                                                                     ,           ,               ,asst ,     ,New York       ,       ,               ,                      ,          ,"=hyperlink(""https://jobs.chronicle.com/job/317125/assistant-professor-bioinformatics-/"",""Chronicle of Higher Education Jobs"")"                                                  ,317125
Director of General Chemistry Labs                       ,02/03/2021  ,              ,         ,"=hyperlink(""https://jobs.colorado.edu/jobs/JobDetail/Director-of-General-Chemistry-Labs/28746"",""University of Colorado Boulder"")"                 ,           ,               ,     ,     ,Colorado       ,       ,               ,                      ,          ,"=hyperlink(""https://jobs.chronicle.com/job/316232/director-of-general-chemistry-labs-/"",""Chronicle of Higher Education Jobs"")"                                                  ,316232
